,Object,Teq (K),Period (days)
0,Earth (reported for reference),255,365.25
1,Venus (reported for reference),244.261,224.7
2,Mars (reported for reference),209.8,686.98
3,Gliese 12 b,315,12.7
4,Gliese 163 c,277,25.6
5,Gliese 357 d,200,55.7
6,Gliese 514 b,202,140.4
7,Gliese 555 b,214,36.2
8,Gliese 667 Cc,277,28.1
9,Gliese 1002 b,231,10.3
10,Gliese 1002 c,182,21.2
11,GJ 1061 c,275,6.7
12,GJ 1061 d,218,13.0
13,GJ 3293 d,223,48.1
14,K2-9b,279,18.4
15,K2-72e,261,24.2
16,K2-288Bb,207,31.4
17,Kepler-22b,261,289.9
18,Kepler-62e,264,122.4
19,Kepler-62f,204,267.3
20,Kepler-174d,206,247.4
21,Kepler-186f,188,129.9
22,Kepler-283c,248,92.7
23,Kepler-296e,276,34.1
24,Kepler-296f,225,63.3
25,Kepler-442b,233,112.3
26,Kepler-440b,273,101.1
27,Kepler-443b,247,177.7
28,Kepler-705b,243,56.1
29,Kepler-1229b,213,86.8
30,Kepler-1410b,274,60.9
31,Kepler-1540b,250,125.4
32,Kepler-1544 b,248,168.8
33,Kepler-1606b,277,196.4
34,Kepler-1649c,237,19.5
35,Kepler-1652b,244,38.1
36,Kepler-1653b,258,140.3
37,Kepler-1701b,275,169.1
38,LHS 1140 b,226,24.7
39,LP 890-9 c,272,8.46
40,Luyten b,258,18.65
41,Proxima Centauri b,228,11.186
42,Ross 128 b,280,9.87
43,Teegarden's Star b,264,4.91
44,Teegarden's Star c,199,11.4
45,TOI-700 d,246,37.4
46,TOI-700 e,273,27.8
47,TOI-715 b,234,19.29
48,TRAPPIST-1d,258,4.05
49,TRAPPIST-1e,230,6.1
50,TRAPPIST-1f,200,9.2
51,TRAPPIST-1g,182,12.4
52,Wolf 1069 b,250,15.6
53,Wolf 1061c,271,17.9
